ID	w
757	shower
758	shut
759	shyt
760	sick
761	sign
762	sing
763	singing
764	single
765	sis
766	sister
767	sit
768	sitting
769	skin
770	slap
771	sleep
772	sleeping
773	sleepy
774	slept
775	slick
776	slow
777	smack
778	smell
779	smh
780	smile
781	smoke
782	smoking
783	snap
784	snapchat
785	snapchats
786	snow
787	social
788	somebody
789	son
790	song
791	songs
792	soo
793	soon
794	sooo
795	soooo
796	sooooo
797	sore
798	sorry
799	sound
800	sounds
801	speak
802	spend
803	spring
804	stand
805	starving
806	state
807	stay
808	step
809	stfu
810	stomach
811	stop
812	stopped
813	store
814	story
815	straight
816	stressed
817	struggle
818	stuck
819	study
820	stuff
821	stupid
822	subtweet
823	suck
824	sucks
825	sum
826	summer
827	sunday
828	super
829	suppose
830	supposed
831	sure
832	swear
833	sweet
834	taco
835	takes
836	taking
837	talk
838	talked
839	talkin
840	talking
841	taylor
842	teacher
843	team
844	tears
845	teeth
846	tell
847	telling
848	terrible
849	test
850	text
851	texted
852	texting
853	texts
854	tf
855	tha
856	thank
857	thanks
858	thanksgiving
859	thats
860	thing
861	things
862	think
863	thinking
864	thinks
865	thirsty
866	tho
867	thou
868	thought
869	threw
870	throat
871	throw
872	tht
873	thursday
874	til
875	till
876	time
877	times
878	tired
879	tl
880	today
881	told
882	tomorrow
883	tonight
884	took
885	totally
886	town
887	tried
888	trip
889	trouble
890	truck
891	true
892	trust
893	truth
894	try
895	trying
896	tryna
897	trynna
898	tuesday
899	turn
900	turned
901	tv
902	tweet
903	tweeted
904	tweeting
905	tweets
906	twice
907	twitter
908	txt
909	type
910	ugh
911	ughhh
912	ugly
913	uh
914	understand
915	upset
916	ur
917	use
918	used
919	ve
920	video
921	videos
922	vine
923	voice
924	wait
925	waiting
926	wake
927	waking
928	walk
929	walked
930	walking
931	wanna
932	want
933	wanted
934	wants
935	wasn
936	wat
937	watch
938	watched
939	watching
940	water
941	way
942	weak
943	wear
944	wearing
945	weather
946	wednesday
947	weed
948	week
949	weekend
950	weeks
951	weight
952	weird
953	welcome
954	wen
955	went
956	white
957	wild
958	win
959	window
960	winter
961	wish
962	wit
963	woke
964	woman
965	won
966	wonder
967	wont
968	word
969	words
970	work
971	working
972	world
973	worried
974	worry
975	worse
976	worst
977	wouldn
978	wow
979	write
980	writing
981	wrong
982	wtf
983	ya
984	yall
985	yay
986	yea
987	yeah
988	year
989	years
990	yes
991	yesterday
992	yhu
993	yo
994	young
995	youu
996	yu
997	ºâ
998	ºï
999	¼ï
